distance,heart_rate,power,temperature,timestamp,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
4.5,79.0,0.0,22,2024-10-01 02:24:38,,234.79999999999995,4.189,37.828121865168214,114.27560870535672,0.0,,0.0,0.0
8.63,78.0,0.0,22,2024-10-01 02:24:39,21.0,235.0,4.395,37.82814122736454,114.27559873089194,4.842615012107638,1.0,,
13.08,78.0,0.0,22,2024-10-01 02:24:40,45.0,235.0,4.656,37.82810057513416,114.27559479139745,0.0,1.0,0.2610000000000001,0.0
17.88,78.0,0.0,22,2024-10-01 02:24:41,45.0,234.79999999999995,4.852,37.828058330342174,114.27558347582817,-4.166666666667615,1.0,0.19600000000000062,0.0
22.86,78.0,0.0,23,2024-10-01 02:24:42,45.0,234.79999999999995,5.067,37.828013990074396,114.2755732499063,0.0,1.0,0.21499999999999986,0.0
28.15,78.0,0.0,23,2024-10-01 02:24:43,45.0,234.79999999999995,5.3,37.82796646468341,114.27557056769729,0.0,1.0,0.23299999999999965,0.0
33.29,77.0,0.0,23,2024-10-01 02:24:44,45.0,234.79999999999995,5.458,37.8279188554734,114.27557031624019,0.0,1.0,0.15800000000000036,0.0
39.34,77.0,0.0,23,2024-10-01 02:24:45,45.0,234.79999999999995,5.617,37.82786454074085,114.27557014860213,0.0,1.0,0.1589999999999998,0.0
45.54,77.0,0.0,23,2024-10-01 02:24:46,0.0,234.60000000000002,5.813,37.82780955545604,114.27556419745088,-3.2258064516118052,1.0,0.19599999999999973,0.0
51.7,78.0,0.0,23,2024-10-01 02:24:47,0.0,234.60000000000002,6.0,37.82775532454252,114.27555246278644,0.0,1.0,0.18700000000000028,0.0
57.84,79.0,0.0,23,2024-10-01 02:24:48,0.0,234.60000000000002,6.214,37.82770042307675,114.27554005756974,0.0,1.0,0.2140000000000004,0.0
64.29,80.0,0.0,23,2024-10-01 02:24:49,0.0,234.60000000000002,6.345,37.827643090859056,114.27552958019078,0.0,1.0,0.13099999999999934,0.0
71.02,80.0,0.0,23,2024-10-01 02:24:50,6.0,234.39999999999998,6.522,37.82758324407041,114.27552547305822,-2.9717682020809177,1.0,0.1770000000000005,0.0
77.79,81.0,65.0,23,2024-10-01 02:24:51,64.0,234.20000000000005,6.793,37.82752247527242,114.27552128210664,-2.954209748891159,1.0,0.2709999999999999,65.0
84.71,83.0,65.0,23,2024-10-01 02:24:52,64.0,234.0,7.11,37.827459862455726,114.2755113914609,-2.8901734104052865,1.0,0.31700000000000017,0.0
92.3,83.0,65.0,23,2024-10-01 02:24:53,64.0,233.79999999999995,7.287,37.82739297486842,114.27550158463418,-2.635046113307581,1.0,0.1769999999999996,0.0
99.51,83.0,0.0,23,2024-10-01 02:24:54,64.0,233.79999999999995,7.399,37.827327847480774,114.27549730986357,0.0,1.0,0.1120000000000001,-65.0
