distance,heart_rate,temperature,timestamp,cadence,power,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0.0,141,32,2023-09-04 10:50:00,,,45.39999999999998,0.28,39.94652752764523,116.4183945581317,0.0,,0.0,0.0
0.0,141,32,2023-09-04 10:50:01,,,45.39999999999998,0.308,39.946576142683625,116.41843319870532,0.0,1.0,,
0.0,141,32,2023-09-04 10:50:05,,,45.0,1.81,39.94723554700613,116.4186310954392,0.0,4.0,0.3755,
0.0,141,32,2023-09-04 10:50:06,0.0,0.0,44.799999999999955,1.726,39.94724669493735,116.4186276588589,0.0,1.0,-0.08400000000000007,
0.0,142,32,2023-09-04 10:50:07,0.0,0.0,44.799999999999955,1.381,39.94724292308092,116.41863201744854,0.0,1.0,-0.345,0.0
0.0,142,32,2023-09-04 10:50:08,0.0,0.0,44.799999999999955,2.333,39.94724711403251,116.41864769160748,0.0,1.0,0.9520000000000002,0.0
1.25,142,32,2023-09-04 10:50:09,36.0,31.0,44.60000000000002,2.687,39.94724619202316,116.41865448094904,-15.999999999994543,1.0,0.35399999999999965,31.0
3.08,142,32,2023-09-04 10:50:10,31.0,52.0,44.39999999999998,3.228,39.94723395444453,116.41866956837475,-10.928961748636365,1.0,0.5410000000000004,21.0
3.08,142,32,2023-09-04 10:50:11,50.0,38.0,44.39999999999998,3.891,39.947267062962055,116.41867560334504,0.0,1.0,0.6629999999999998,-14.0
3.08,142,32,2023-09-04 10:50:12,50.0,38.0,44.0,4.609,39.94729078374803,116.41873251646757,0.0,1.0,0.718,0.0
3.08,142,32,2023-09-04 10:50:13,76.0,37.0,44.0,4.983,39.94729363359511,116.41876135021448,0.0,1.0,0.37399999999999967,-1.0
3.08,142,32,2023-09-04 10:50:14,76.0,37.0,43.799999999999955,4.777,39.94731517508626,116.4187828078866,0.0,1.0,-0.20599999999999952,0.0
3.08,142,32,2023-09-04 10:50:15,76.0,0.0,43.799999999999955,4.255,39.94738608598709,116.41881440766156,0.0,1.0,-0.5220000000000002,-37.0
3.08,142,32,2023-09-04 10:50:16,76.0,0.0,43.799999999999955,4.031,39.947406370192766,116.41883854754269,0.0,1.0,-0.2240000000000002,0.0
3.08,142,32,2023-09-04 10:50:17,76.0,0.0,43.799999999999955,4.068,39.94741827249527,116.41886067576706,0.0,1.0,0.03699999999999992,0.0
3.08,142,32,2023-09-04 10:50:18,0.0,0.0,43.799999999999955,4.264,39.947596807032824,116.41888967715204,0.0,1.0,0.19600000000000062,0.0
3.08,142,32,2023-09-04 10:50:19,0.0,0.0,43.799999999999955,4.367,39.947618935257196,116.41893049702048,0.0,1.0,0.10299999999999976,0.0
12.5,142,32,2023-09-04 10:50:20,0.0,0.0,43.799999999999955,4.32,39.94760896079242,116.41906301490963,0.0,1.0,-0.04699999999999971,0.0
17.27,141,32,2023-09-04 10:50:21,60.0,43.0,44.0,4.161,39.9476498644799,116.41912973485887,4.1928721174013726,1.0,-0.1590000000000007,43.0
23.42,142,32,2023-09-04 10:50:22,60.0,43.0,44.0,4.367,39.947660844773054,116.4191956166178,0.0,1.0,0.2060000000000004,0.0
28.53,142,32,2023-09-04 10:50:23,66.0,102.0,44.0,5.039,39.9476773571223,116.41925789415836,0.0,1.0,0.6719999999999997,59.0
33.78,143,32,2023-09-04 10:50:24,66.0,102.0,44.0,5.318,39.94768540374935,116.41932084225118,0.0,1.0,0.2789999999999999,0.0
40.27,143,32,2023-09-04 10:50:25,75.0,78.0,44.0,5.477,39.94771130383015,116.41938504762948,0.0,1.0,0.1590000000000007,-24.0
47.87,143,32,2023-09-04 10:50:26,75.0,21.0,43.799999999999955,5.393,39.94771281257272,116.4194718003273,-2.6315789473690216,1.0,-0.08400000000000052,-57.0
53.6,143,32,2023-09-04 10:50:27,75.0,21.0,43.60000000000002,5.421,39.94771683588624,116.41954413615167,-3.4904013961593656,1.0,0.02800000000000047,0.0
60.45,142,32,2023-09-04 10:50:28,63.0,23.0,43.60000000000002,5.729,39.94772236794233,116.4196240156889,0.0,1.0,0.30799999999999983,2.0
65.81,140,32,2023-09-04 10:50:29,63.0,65.0,43.60000000000002,5.981,39.94774189777672,116.41968226991594,0.0,1.0,0.2519999999999998,42.0
74.36,139,32,2023-09-04 10:50:30,80.0,63.0,43.60000000000002,6.121,39.947756147012115,116.41977329738438,0.0,1.0,0.14000000000000057,-2.0
79.91,139,32,2023-09-04 10:50:31,82.0,55.0,43.60000000000002,6.186,39.94777140207589,116.41983423382044,0.0,1.0,0.0649999999999995,-8.0
85.53,138,32,2023-09-04 10:50:32,85.0,52.0,43.60000000000002,6.298,39.947781125083566,116.41990246251225,0.0,1.0,0.1120000000000001,-3.0
91.66,137,32,2023-09-04 10:50:33,87.0,43.0,43.60000000000002,6.373,39.947789339348674,116.41998351551592,0.0,1.0,0.07500000000000018,-9.0
98.53,137,32,2023-09-04 10:50:34,87.0,43.0,43.60000000000002,6.503,39.94781347922981,116.42005593515933,0.0,1.0,0.1299999999999999,0.0
104.97,137,32,2023-09-04 10:50:35,90.0,59.0,43.60000000000002,6.559,39.94783133268356,116.42011863179505,0.0,1.0,0.05600000000000005,16.0
114.83,137,32,2023-09-04 10:50:36,90.0,59.0,43.60000000000002,6.597,39.94786201044917,116.42021988518536,0.0,1.0,0.038000000000000256,0.0
