cadence,power,temperature,timestamp,distance,speed,altitude,latitude,longitude,slope,time_diff,acceleration,power_change_rate
0,0,20,2023-04-10 00:51:50,,,,,,0.0,,0.0,0.0
68,117,20,2023-04-10 00:52:24,6.21,6.213,,,,0.0,34.0,,
68,117,20,2023-04-10 00:52:25,12.37,6.163,,,,,1.0,-0.04999999999999982,0.0
58,98,20,2023-04-10 00:52:26,18.47,6.1,,,,,1.0,-0.06300000000000061,-19.0
58,98,20,2023-04-10 00:52:27,24.54,6.063,,,,,1.0,-0.03699999999999992,0.0
58,98,20,2023-04-10 00:52:28,30.59,6.053,,,,,1.0,-0.009999999999999787,0.0
64,139,20,2023-04-10 00:52:29,36.64,6.053,,,,,1.0,0.0,41.0
67,156,20,2023-04-10 00:52:30,42.76,6.12,,,,,1.0,0.06700000000000017,17.0
67,156,20,2023-04-10 00:52:31,48.94,6.18,,,,,1.0,0.05999999999999961,0.0
67,156,20,2023-04-10 00:52:32,55.07,6.13,,,,,1.0,-0.04999999999999982,0.0
58,111,20,2023-04-10 00:52:33,61.09,6.013,,,,,1.0,-0.11699999999999999,-45.0
58,111,20,2023-04-10 00:52:34,67.05,5.96,-65.80000000000001,,,,1.0,-0.052999999999999936,0.0
47,114,20,2023-04-10 00:52:35,73.13,6.083,-65.80000000000001,,,0.0,1.0,0.12300000000000022,3.0
47,114,20,2023-04-10 00:52:36,79.32,6.186,-65.60000000000002,,,3.231017770597556,1.0,0.10299999999999976,0.0
47,114,20,2023-04-10 00:52:37,85.42,6.106,-65.60000000000002,,,0.0,1.0,-0.08000000000000007,0.0
35,43,20,2023-04-10 00:52:38,91.39,5.963,-65.60000000000002,,,0.0,1.0,-0.1429999999999998,-71.0
32,94,20,2023-04-10 00:52:39,97.29,5.906,-65.60000000000002,,,0.0,1.0,-0.057000000000000384,51.0
51,162,20,2023-04-10 00:52:40,103.22,5.93,-65.80000000000001,,,-3.3726812816186995,1.0,0.02400000000000002,68.0
51,162,20,2023-04-10 00:52:41,109.34,6.113,-65.80000000000001,,,0.0,1.0,0.18300000000000072,0.0
51,162,20,2023-04-10 00:52:42,115.61,6.27,-65.80000000000001,,,0.0,1.0,0.15699999999999914,0.0
0,0,20,2023-04-10 00:52:43,121.99,6.38,-65.80000000000001,,,0.0,1.0,0.11000000000000032,-162.0
0,0,20,2023-04-10 00:52:44,128.31,6.32,-65.80000000000001,,,0.0,1.0,-0.05999999999999961,0.0
0,0,20,2023-04-10 00:52:45,134.47,6.16,-65.80000000000001,,,0.0,1.0,-0.16000000000000014,0.0
0,0,20,2023-04-10 00:52:46,140.44,5.973,-65.80000000000001,,,0.0,1.0,-0.18700000000000028,0.0
0,0,20,2023-04-10 00:52:47,146.2,5.756,-65.80000000000001,,,0.0,1.0,-0.21699999999999964,0.0
