temperature,timestamp,cadence,distance,heart_rate,power,speed,altitude,latitude,longitude,slope,time_diff,acceleration,power_change_rate
24,2023-06-03 22:39:44,,,,,,,,,0.0,,0.0,0.0
24,2023-06-03 22:39:45,,,,,,,,,0.0,1.0,,
24,2023-06-03 22:40:59,80.0,7.87,112.0,217.0,7.873,,,,0.0,74.0,,
24,2023-06-03 22:41:00,80.0,15.73,112.0,217.0,7.856,,,,,1.0,-0.017000000000000348,0.0
24,2023-06-03 22:41:01,80.0,23.61,113.0,209.0,7.88,,,,,1.0,0.02400000000000002,-8.0
24,2023-06-03 22:41:02,80.0,31.51,113.0,178.0,7.906,,,,,1.0,0.0259999999999998,-31.0
24,2023-06-03 22:41:03,80.0,39.43,113.0,178.0,7.92,,,,,1.0,0.014000000000000234,0.0
24,2023-06-03 22:41:04,78.0,47.34,114.0,199.0,7.903,,,,,1.0,-0.017000000000000348,21.0
24,2023-06-03 22:41:05,78.0,55.22,114.0,236.0,7.88,,,,,1.0,-0.022999999999999687,37.0
24,2023-06-03 22:41:06,78.0,63.15,114.0,213.0,7.936,,,,,1.0,0.05600000000000005,-23.0
24,2023-06-03 22:41:07,78.0,71.08,114.0,213.0,7.923,,,,,1.0,-0.0129999999999999,0.0
24,2023-06-03 22:41:08,78.0,78.91,114.0,213.0,7.836,,,,,1.0,-0.08699999999999974,0.0
24,2023-06-03 22:41:09,78.0,86.46,114.0,213.0,7.543,22.200000000000045,,,,1.0,-0.29300000000000015,0.0
24,2023-06-03 22:41:10,0.0,93.7,115.0,0.0,7.246,22.399999999999977,,,2.762430939225574,1.0,-0.2969999999999997,-213.0
24,2023-06-03 22:41:11,0.0,100.65,115.0,0.0,6.943,22.799999999999955,,,5.7553956834529085,1.0,-0.3030000000000008,0.0
24,2023-06-03 22:41:12,0.0,107.27,114.0,0.0,6.626,23.0,,,3.0211480362544676,1.0,-0.3169999999999993,0.0
24,2023-06-03 22:41:13,0.0,113.7,114.0,0.0,6.423,23.200000000000045,,,3.1104199066881066,1.0,-0.2030000000000003,0.0
24,2023-06-03 22:41:14,0.0,120.0,114.0,0.0,6.303,23.399999999999977,,,3.1746031746020935,1.0,-0.1200000000000001,0.0
24,2023-06-03 22:41:15,0.0,125.9,114.0,0.0,5.9,23.600000000000023,,,3.3898305084753435,1.0,-0.4029999999999996,0.0
24,2023-06-03 22:41:16,0.0,131.1,114.0,0.0,5.196,24.0,,,7.692307692307272,1.0,-0.7040000000000006,0.0
24,2023-06-03 22:41:17,0.0,135.28,114.0,0.0,4.186,24.200000000000045,,,4.784688995216391,1.0,-1.0099999999999998,0.0
24,2023-06-03 22:41:18,0.0,138.5,114.0,0.0,3.216,24.200000000000045,,,0.0,1.0,-0.9699999999999998,0.0
24,2023-06-03 22:41:19,0.0,140.71,114.0,0.0,2.21,24.200000000000045,,,0.0,1.0,-1.0060000000000002,0.0
24,2023-06-03 22:41:20,0.0,141.95,114.0,0.0,1.243,24.200000000000045,,,0.0,1.0,-0.9669999999999999,0.0
24,2023-06-03 22:41:21,0.0,142.49,114.0,0.0,0.54,24.200000000000045,,,0.0,1.0,-0.7030000000000001,0.0
24,2023-06-03 22:41:22,0.0,142.7,114.0,0.0,0.206,24.200000000000045,,,0.0,1.0,-0.3340000000000001,0.0
24,2023-06-03 22:41:37,0.0,145.27,104.0,0.0,2.576,24.399999999999977,,,7.782101167312455,15.0,0.158,0.0
24,2023-06-03 22:41:38,51.0,148.36,104.0,99.0,3.083,24.399999999999977,,,0.0,1.0,0.5070000000000001,99.0
24,2023-06-03 22:41:39,28.0,151.85,105.0,125.0,3.496,24.399999999999977,,,0.0,1.0,0.4129999999999998,26.0
24,2023-06-03 22:41:40,35.0,155.74,106.0,182.0,3.886,24.399999999999977,,,0.0,1.0,0.3900000000000001,57.0
